userID,albumID,artist,title,rating,plays
1,MW0002022778,Usher,Versus,3,8
1,MW0002227852,Wale,Ambition,3,4
1,MW0002541704,Wale,The Gifted,3,5
1,MW0002116501,Wild Beasts,Smother,3,9
1,MW0002485471,Wild Belle,Isles,3,5
1,MW0002392866,Wild Nothing,Nocturne,3,6
1,MW0002382245,Yeasayer,Fragrant World,3,6
1,MW0001955810,Yeasayer,Odd Blood,3,5
1,MW0002419171,Yellow Ostrich,Ghost,3,6
1,MW0002351436,Young Man,Vol. 1,3,8
1,MW0002501329,Youngblood Hawke,Wake Up,3,6
1,MW0002420102,Zedd,Clarity,3,3
1,MW0002165205,311,Universal Pulse,2.5,8
1,MW0002403649,2 Chainz,Based on a T.R.U. Story,2.5,3
1,MW0002293921,Andrew Bird,Break It Yourself,2.5,5
1,MW0002252866,Anthony Hamilton,Back to Love,2.5,5
1,MW0002181848,Apparat,The Devil's Walk,2.5,4
1,,Ariez Onasis,The Heartbreak Kid,2.5,3
1,MW0002544994,Bear Mountain,XO,2.5,5
1,MW0002477322,Big Sean,Hall of Fame,2.5,5
1,MW0002304170,Blood Red Shoes,In Time to Voices,2.5,5
1,MW0002543577,Boards of Canada,Tomorrow's Harvest,2.5,5
1,MW0002289390,Bowerbirds,The Clearing,2.5,5
1,MW0002605243,Bridget Kelly,...Cut To Bridget Kelly,2.5,1
1,MW0001974333,Broken Social Scene,Forgiveness Rock Record,2.5,5
1,MW0001989957,Christina Aguilera,Bionic,2.5,5
1,MW0002427099,Christina Aguilera,Lotus,2.5,3
1,MW0002014292,Ciara,Basic Instinct,2.5,8
1,MW0002566879,College,Heritage,2.5,2
1,MW0002304130,Conduits,Conduits,2.5,5
1,MW0002122892,Cults,Cults,2.5,5
1,,CyHi Da Prynce,Royal Flush 2,2.5,1
1,MW0001956251,Dave Matthews,Live in Las Vegas,2.5,1
1,,Dawes,Daytrotter Sessions (2010),2.5,1
1,MW0002449362,Dawn Richard,Goldenheart,2.5,3
1,MW0002349066,Dirty Projectors,Swing Lo Magellan,2.5,5
