Artist,Album,Plays
Switchfoot,Hello Hurricane,15
Switchfoot,Hello Hurricane,20
Switchfoot,Hello Hurricane,8
Switchfoot,Hello Hurricane,9
Switchfoot,Hello Hurricane,10
Switchfoot,Hello Hurricane,10
Switchfoot,Hello Hurricane,15
Switchfoot,Hello Hurricane,10
Rod Carrillo & Shefali,Here We Come: The Radio Mixes,1
Seal,Hits,1
Seal,Hits,1
Kevin Cossom,Hook Vs Bridge EP,12
Kevin Cossom,Hook Vs Bridge EP,8
Kevin Cossom,Hook Vs Bridge EP,10
Kevin Cossom,Hook Vs Bridge EP,10
Kevin Cossom,Hook Vs Bridge EP,10
Kevin Cossom,Hook Vs Bridge EP,9
Kevin Cossom,Hook Vs Bridge EP,19
Kevin Cossom,Hook Vs Bridge EP,7
Kevin Cossom,Hook Vs Bridge EP,7
Kevin Cossom,Hook Vs Bridge EP,7
Kevin Cossom,Hook Vs Bridge EP,35
Kevin Cossom,Hook Vs Bridge EP,6
Kevin Cossom,Hook Vs Bridge EP,34
Kevin Cossom,Hook Vs Bridge EP,44
The Antlers,Hospice,9
The Antlers,Hospice,8
The Antlers,Hospice,7
The Antlers,Hospice,9
The Antlers,Hospice,7
The Antlers,Hospice,7
The Antlers,Hospice,8
The Antlers,Hospice,7
The Antlers,Hospice,10
The Antlers,Hospice,8
Cobra Starship,Hot Mess,4
Cobra Starship,Hot Mess,5
Electrik Red,"How To Be A Lady, Vol.1",4
